chunk_0000.wav|ín dio zi nho, um Indiozinho, um Indiozinho, dois indiozinhos|ín dio zi nho, um Indiozinho, um Indiozinho, dois indiozinhos
chunk_0001.wav|índio em inglês é Indian, A Bela e a Fera, fim|índio em inglês é Indian, A Bela e a Fera, fim
chunk_0002.wav|Olá mille amigos sejam bem-vindos ao show da giramille, não se esqueçam de usar a hashtag show da Giramille|Olá mille amigos sejam bem-vindos ao show da giramille, não se esqueçam de usar a hashtag show da Giramille
chunk_0003.wav|pra que vocês possam conferir as novidades, inscreva-se no nosso canal, O Patinho fei|pra que vocês possam conferir as novidades, inscreva-se no nosso canal, O Patinho fei
chunk_0004.wav|mail, A Cigarra e a Formiga, a Lebre e a Tartaruga|mail, A Cigarra e a Formiga, a Lebre e a Tartaruga
chunk_0005.wav|milli Milli beijos para você, Os Três Porquinhos|milli Mili beijos para você, Os Três Porquinhos
chunk_0007.wav|é muito legal, é mesmo uma cor muito bonita, eles são tão molengas|é muito legal, é mesmo uma cor muito bonita, eles são tão molengas
chunk_0008.wav|Rararã, Ebaaa! você sabia que conseguimos criar todas as cores usando apenas ela|Rararã, Ebaaa! você sabia que conseguimos criar todas as cores usando apenas ela
chunk_0009.wav|elas, você sabia que conseguimos criar todas as cores usando apenas elas, já sei!|elas, você sabia que conseguimos criar todas as cores usando apenas elas, já sei!
chunk_0010.wav|uauu!! Ruauuu!, eu gosto muito do verde, você sabia|uauu! Ruauuu! eu gosto muito do verde, você sabia
chunk_0011.wav|ia para fazer o verde precisamos da cor azul, é amarelo, Olhem só, dançando a musiqui|ia para fazer o verde precisamos da cor azul, é amarelo, Olhem só, dançando a musiqui
chunk_0012.wav|quinha gira gira gira Mili, até a próxima brincadeira Mili Mili beijos! Olá mili ami|quinha gira gira gira Mili, até a próxima brincadeira Mili Mili beijos! Olá mili ami
chunk_0013.wav|migos|migos
chunk_0014.wav|por que eu estou super animada!, hoje vamos descobrir os sons ao nosso redor, vocês gostam|por que eu estou super animada!, hoje vamos descobrir os sons ao nosso redor, vocês gosta
chunk_0015.wav|tam de som, vejam Este é o tambor, temos uma flauta|tam de som, vejam Este é o tambor, temos uma flauta
chunk_0016.wav|cada instrumento tem um som único, agora, vamos Juntar|cada instrumento tem um som único, agora, vamos Juntar
chunk_0017.wav|todos os sons que aprendemos e criaram a nossa música, prontos?, prontos?|todos os sons que aprendemos e criaram a nossa música, prontos? prontos?
chunk_0018.wav|não foi divertido?, Olá mili amigos, porque eu es|não foi divertido?, Olá mili amigos, porque eu es
chunk_0019.wav|tou super empolgada!, perfeito!, então, olhem uma chave|tou super empolgada!, perfeito!, então, olhem uma chave